telephone,nom_complet,email,points_fidelite
361073139,JULIE MAILLOT,julie.maillot@club-internet.fr,404
03.29.32.03.84,Eugène Chevalier,eugène.chevalier@yahoo.fr,175
175345540,Maillard Clémence,,418
05 46 71 36 78,GUILLAUME MARINE,marine.guillaume@live.com,35
05.58.28.72.98,Franck Gomez,,304
05 08 23 03 08,Yves Morel,,283
0457725138,EVRARD BENOÎT,benoît.evrard@sfr.fr,492
+33590124439,Emmanuelle Clerc,,338
04.81.09.63.55,Jérôme Maillard,jérôme.maillard@ifrance.com,110
256367105,ALLAIN WILLIAM,,105
0144496874,VINCENT ÉMILE,,290
430934257,Émile Parent,,69
+33(0)549485246,Adèle Legrand,,216
0235748093,Riou Frédérique,frédérique.riou@free.fr,361
05.62.00.25.35,MALLET LUCY,,311
05.59.16.07.98,Zoé Fernandez,,134
02 22 28 75 05,Lecomte Jean,,182
354233730,Benjamin Martineau,,239
04 30 67 94 25,MARIE CAPUCINE,,262
05 64 65 93 54,Christine Leroy,christine.leroy@dbmail.com,355
02.23.89.51.45,Germain Édouard,édouard.germain@bouygtel.fr,328
+33(0)148764185,Guillon Charlotte,,276
549265148,Robin Sophie,,12
366199726,CHRISTOPHE JACQUET,,58
05 63 70 67 00,PAUL MENARD,,81
05 17 89 57 69,ÉLODIE BESSON,,450
0470864264,Noémi Maréchal,noémi.maréchal@hotmail.fr,91
385053378,MARTY MARTINE,,125
05.58.66.20.03,Philippe Gros,,416
01 45 95 86 12,Marianne Seguin,,288
04.23.94.37.00,Anouk Perrin,anouk.perrin@yahoo.fr,352
0279126667,Nathalie Guibert,,319
04 76 42 61 07,MARGARET PAYET,,345
160894409,GILLET JOSÉPHINE,,180
0517251922,Bousquet Dorothée,dorothée.bousquet@free.fr,428
04.68.93.66.63,MORVAN VICTOR,victor.morvan@club-internet.fr,183
04 66 62 95 76,JOSEPH GONCALVES,joseph.goncalves@noos.fr,479
178305698,Françoise Weber,,448
03 22 46 79 81,Geneviève Dijoux,geneviève.dijoux@noos.fr,427
0170235496,Arnaud Jules,,142
04.93.33.29.00,PAUL MARGAUX,margaux.paul@bouygtel.fr,229
04.98.48.61.28,Masse Céline,,53
0517664413,Adèle Simon,,375
02.37.47.24.11,Charles Virginie,,419
03.68.86.21.49,MARQUES DANIELLE,,95
04.50.16.38.15,MOREAU AUDREY,audrey.moreau@hotmail.fr,413
+33420984684,COHEN LUCIE,,368
0467918454,Joly Aimée,,104
518326903,GRONDIN PHILIPPE,,142
179162330,Bertrand Parent,,249
04 49 22 83 69,THOMAS JOUBERT,thomas.joubert@voila.fr,120
05 45 97 08 71,Lacroix Nicolas,nicolas.lacroix@free.fr,362
03 59 15 65 91,HORTENSE LOPES,,184
+33(0)339472753,BRUNET SYLVIE,,253
05 58 20 56 22,Fouquet Charlotte,,316
02.33.23.73.20,Martins Augustin,augustin.martins@ifrance.com,94
0456808100,Camus Emmanuelle,,363
367858018,DENISE MARQUES,,374
02.77.32.55.39,Barre Élisabeth,élisabeth.barre@ifrance.com,314
02.58.31.26.67,Vasseur Renée,renée.vasseur@ifrance.com,419
253616067,COLIN FRANÇOISE,,437
04.68.18.50.10,Jules Roussel,,357
02 32 25 37 53,BAZIN ALIX,alix.bazin@live.com,183
228640290,FRÉDÉRIC LABBÉ,frédéric.labbé@free.fr,277
03 83 88 97 88,Mendès Juliette,,488
05 56 19 27 20,André Lenoir,,243
321159110,Joséphine Vallée,,10
03.27.01.10.72,MEUNIER MARIE,marie.meunier@club-internet.fr,371
+33257398511,Anastasie Weber,,428
481795261,Martin Barre,,454
487762205,Meyer Bernadette,,476
01 64 54 68 91,Tanguy Frédéric,frédéric.tanguy@laposte.net,299
463549941,Margot Rivière,,147
+33296274198,LEBRUN YVES,yves.lebrun@live.com,409
04.32.02.56.10,Mathieu Christiane,,71
03.64.09.88.99,Jeannine Jacquot,,500
05.57.16.85.28,Richard Philippine,,99
388740400,Weber Georges,,273
+33(0)379636635,Lombard Alice,alice.lombard@tiscali.fr,403
01.47.75.37.57,Anouk Fernandez,,459
04 85 17 19 77,Gay René,,45
0427549473,Nath Payet,,78
04 32 52 75 76,LEMAIRE ÉDITH,,488
04.84.41.04.41,Charpentier Guillaume,guillaume.charpentier@ifrance.com,482
+33546188253,Charlotte Lemaire,,122
0285638080,Dubois Sabine,,292
02.44.32.55.86,Thomas Berthelot,,348
255769394,Stéphane Colas,,313
03 25 94 60 82,David Lemoine,david.lemoine@dbmail.com,67
03 59 13 09 93,Hugues Leroy,,473
03 22 22 66 81,ÉTIENNE LEMAIRE,étienne.lemaire@noos.fr,265
04.57.82.64.59,DENISE GUILLET,,360
03.90.46.17.20,Pichon Marc,,119
561293062,Perrin Jeanne,jeanne.perrin@hotmail.fr,350
0241187225,William Rousseau,,167
03.75.76.89.14,Wagner Maggie,maggie.wagner@tele2.fr,497
03 52 14 47 91,SCHMITT ALEXANDRIE,,17
0587598977,Laporte Éléonore,éléonore.laporte@sfr.fr,384
+33245317849,Besson Raymond,raymond.besson@wanadoo.fr,55
04.42.30.01.06,NICOLE MAILLOT,nicole.maillot@tele2.fr,123
0457891411,Gabriel Reynaud,,443
325783175,Laurent Julien,,135
469163352,Roger Garcia,,239
04 11 41 22 77,Véronique Leroy,véronique.leroy@bouygtel.fr,442
05 08 77 51 78,Peltier Frédéric,,461
+33(0)369138100,Muller Anastasie,,70
368434917,FOUQUET MICHÈLE,,118
388064444,RICHARD ANDRÉE,,383
+33245838518,Laurence Bigot,,190
0276477338,CÉLINE JACOB,céline.jacob@live.com,25
03.70.18.08.22,JOSEPH LEMAIRE,,399
01.80.01.01.31,Agnès Marin,agnès.marin@voila.fr,128
04.80.30.12.51,Mathilde Lejeune,,303
545389066,Vallet Dominique,dominique.vallet@sfr.fr,375
586378303,Martine Peron,,203
+33(0)255096859,Suzanne Gilbert,suzanne.gilbert@live.com,218
563809155,Parent Agathe,agathe.parent@dbmail.com,381
0170400110,Véronique Clerc,véronique.clerc@hotmail.fr,474
353700799,Nathalie Lebon,nathalie.lebon@voila.fr,204
04.44.44.98.30,Antoinette Blanchet,,65
0380839537,Jacques Gabriel,,387
03.75.48.50.79,MARTINS ZACHARIE,zacharie.martins@ifrance.com,414
563359137,SUZANNE ALVES,,425
518561904,PETIT JULIETTE,juliette.petit@hotmail.fr,110
563665273,Lecomte Roland,roland.lecomte@gmail.com,232
383533872,Boulay Élisabeth,,257
252511248,Frédéric Bigot,frédéric.bigot@wanadoo.fr,196
535049012,RIVIÈRE FRÉDÉRIC,frédéric.rivière@live.com,146
+33(0)473555188,Lucas Alix,,45
384807875,Océane Delannoy,,459
0554044272,MOULIN JEAN,jean.moulin@orange.fr,449
+33320031089,Ruiz Éric,éric.ruiz@ifrance.com,47
02.35.23.22.44,Collin Alexandre,,88
0375556890,Lopez Stéphanie,,406
411217737,Marcel Germain,,46
0156638878,LORRAINE ROY,,311
05 36 93 37 63,CATHERINE BONNET,,319
02 40 14 45 82,GÉRARD PINTO,gérard.pinto@gmail.com,171
524595689,Noël Daniel,daniel.noël@orange.fr,63
805259120,THIBAULT THIERRY,,289
+33533954185,Christophe Delaunay,,275
581432755,Benjamin Thierry,,435
04.22.20.93.89,Marianne Samson,,101
04.82.98.31.07,LÉON RAYMOND,léon.raymond@wanadoo.fr,270
183005210,ISABELLE GIRARD,,20
+33(0)498471155,LOISEAU EMMANUEL,,302
04.78.16.03.72,Astrid Hernandez,,335
01 80 60 15 52,Picard Stéphanie,,265
531301332,Mathieu Sabine,sabine.mathieu@dbmail.com,373
0248465652,Édouard Pineau,,183
276900255,ANTOINE MENARD,antoine.menard@sfr.fr,260
0375450014,GABRIEL VASSEUR,,456
0422740897,Renault Pénélope,,101
181967719,VIRGINIE PARIS,,326
0363358602,Aurélie Gosselin,,376
02 21 78 19 37,David Laurent,laurent.david@tiscali.fr,440
+33434485095,Hélène Marchal,hélène.marchal@noos.fr,86
0233467305,Vincent Morvan,,455
355744671,Claude Marion,,339
0473382970,Antoine Mathilde,mathilde.antoine@tele2.fr,187
473904353,Franck Morin,franck.morin@wanadoo.fr,134
03.57.38.87.76,Chauvet Adrien,,292
01 74 81 48 92,Chevallier Bertrand,,471
02 99 66 13 57,Antoinette Gomez,antoinette.gomez@voila.fr,21
02 47 69 91 76,Alix Adam,,455
04 78 34 88 94,ODETTE LEFÈVRE,odette.lefèvre@orange.fr,214
01 30 48 78 42,Simon Nathalie,nathalie.simon@club-internet.fr,314
176149877,Nicolas Navarro,nicolas.navarro@hotmail.fr,180
03 58 17 65 60,Diane Georges,,100
03.89.32.53.80,GERMAIN OLIVIE,olivie.germain@voila.fr,220
+33324416296,Anne Breton,anne.breton@bouygtel.fr,412
03.68.90.84.38,Fischer Isaac,isaac.fischer@noos.fr,401
04 22 66 54 22,LEJEUNE MARIE,marie.lejeune@sfr.fr,71
06 58 79 11 36,AUBERT PHILIPPINE,,25
03 24 80 65 11,Christiane Moreno,,325
0355237451,Monique Bertin,monique.bertin@hotmail.fr,490
+33323864713,Philippe Timothée,,78
0467329761,PHILIPPE MARTEL,philippe.martel@laposte.net,236
+33(0)547512401,Camille Rousset,,310
04 71 77 72 97,GEORGES GOMEZ,,305
0485703469,Lucas Camus,lucas.camus@sfr.fr,14
0456283042,STÉPHANE CHARRIER,,228
01 43 59 38 04,ALEXANDRIA AUGER,alexandria.auger@wanadoo.fr,22
03.20.18.09.87,Marcelle Normand,marcelle.normand@live.com,186
0379477441,Da Costa Guillaume,,391
228020526,Besson Corinne,corinne.besson@ifrance.com,22
03.80.51.14.58,Thierry Nicolas,,360
04 85 29 97 66,BIGOT CAROLINE,,51
231730832,Chartier Marthe,,418
04.95.06.07.46,VICTOIRE PELLETIER,,418
594236032,Rémy Monnier,rémy.monnier@tiscali.fr,484
498475173,BLOT MARCELLE,,405
02.36.25.04.66,Simon Christophe,,205
03 89 39 81 80,DELORME TIMOTHÉE,timothée.delorme@noos.fr,24
596158910,Rossi Antoine,,70
0491003216,Éléonore Neveu,éléonore.neveu@orange.fr,35
01 80 06 44 71,PATRICK HUET,patrick.huet@tele2.fr,406
252398629,Laine Diane,diane.laine@laposte.net,126
05 86 39 84 15,Rey Bernadette,,198
03 86 57 14 46,Pierre Perez,,407
430866692,Germain Gilles,,95
0134166594,Lemaître Margaux,margaux.lemaître@hotmail.fr,357
05 59 69 32 37,Allain Bernadette,,359
03 72 49 35 73,ADÉLAÏDE LAGARDE,,223
02.32.31.79.78,Courtois Susanne,,299
174300244,LEGENDRE BERTRAND,,237
01.42.99.03.14,MARINE DELMAS,marine.delmas@bouygtel.fr,133
0214136555,Joly Louise,louise.joly@voila.fr,476
03 56 60 40 95,Lucy Dubois,,206
0345260410,Pons Anouk,,437
0456470538,Pineau Suzanne,,289
443443483,FRANCK BAILLY,franck.bailly@noos.fr,89
04.68.31.84.99,Meunier Renée,renée.meunier@yahoo.fr,119
0246073990,BRUNEAU MARGOT,margot.bruneau@voila.fr,397
04 49 94 58 77,Fontaine Thomas,thomas.fontaine@sfr.fr,326
02.28.90.20.86,Victor Mathieu,victor.mathieu@gmail.com,58
01 44 85 36 62,ROGER BODIN,,307
03.66.81.53.18,ÉRIC GERMAIN,,104
0373314800,Godard Joseph,,174
03 83 41 80 46,Olivier Chartier,,335
03.70.85.55.87,Louis Julie,,117
582823251,Léon Legros,,462
368183605,Jeanne Teixeira,,460
01.72.99.57.16,ANTOINE FABRE,,195
258997144,Louise Bigot,louise.bigot@ifrance.com,466
02.34.34.76.80,Martel Patrick,,177
04 99 13 59 77,HOAREAU DAVID,david.hoareau@laposte.net,362
03 44 19 24 74,DESCHAMPS ALPHONSE,alphonse.deschamps@noos.fr,288
0385968300,Laroche Luce,luce.laroche@voila.fr,60
420171042,Audrey Letellier,,383
04.15.61.34.51,Élise Ledoux,élise.ledoux@noos.fr,46
310991993,Masse Luce,luce.masse@sfr.fr,437
04 88 71 77 11,DEVAUX VICTOIRE,victoire.devaux@voila.fr,304
03 64 80 84 98,MALLET DAVID,,349
508025949,PIERRE MARTHE,,435
258773881,Emmanuelle Martin,,500
+33535162385,BECKER OLIVIE,olivie.becker@dbmail.com,149
250818322,MARQUES MAGGIE,,248
05.79.13.91.33,Lucie Leclerc,,125
427259014,JÉRÔME HUET,jérôme.huet@wanadoo.fr,242
02.57.59.60.45,AIMÉE CARPENTIER,,497
01.30.09.36.03,BÈGUE MARIANNE,,492
0361228645,LE GOFF HÉLÈNE,,161
222566104,Fleury Yves,,498
262363634,Brunet Honoré,,329
241192915,Bertrand Josette,,117
02.78.54.85.12,MAURY LUCIE,,314
+33558069217,CAPUCINE LEROY,,140
0476974290,Pascal Lucy,lucy.pascal@club-internet.fr,251
04.68.80.75.72,Hoarau Patrick,patrick.hoarau@ifrance.com,256
0249772669,Joseph Dominique,dominique.joseph@sfr.fr,74
0279702431,DELAHAYE LUCAS,,421
03 62 51 72 94,Philippe Chauveau,,379
04 78 14 26 00,BAUDRY NICOLE,,140
+33(0)223429037,LEGRAND MARINE,marine.legrand@noos.fr,169
+33219062169,Roussel Juliette,,169
420664184,Arnaude Hoarau,arnaude.hoarau@laposte.net,384
+33(0)145524482,VOISIN CHRISTOPHE,,266
01.74.39.98.45,BOULANGER NATHALIE,nathalie.boulanger@wanadoo.fr,194
05.87.70.48.71,Daniel Alexandre,,116
0437954214,Schneider Thomas,thomas.schneider@free.fr,496
02 76 52 90 80,Marthe Lemonnier,marthe.lemonnier@hotmail.fr,10
02.38.11.61.16,Aimée Allard,,441
143541817,Gilbert Bertin,,106
0328585874,HERNANDEZ RENÉE,renée.hernandez@laposte.net,414
231722874,Dubois Jean,,46
0531922375,Becker Gilbert,,110
04 94 76 85 70,Weiss Victoire,,271
+33297093902,BOUTIN JOSETTE,josette.boutin@tele2.fr,178
03.66.45.57.26,Pinto Antoine,antoine.pinto@voila.fr,295
320594855,Lemonnier Alexandria,,411
254212396,Margaud Ramos,margaud.ramos@laposte.net,175
0182949566,Jules François,,275
05.82.14.87.73,Lorraine Morel,lorraine.morel@gmail.com,58
04.66.91.58.85,Faivre Luce,luce.faivre@wanadoo.fr,395
0219149064,Michel Jeannine,jeannine.michel@noos.fr,493
04 85 77 21 66,De Sousa Joseph,joseph.desousa@sfr.fr,296
0329075178,ROGER CHRISTIANE,,486
04.91.31.36.43,ANASTASIE SCHNEIDER,,323
0339699359,Deschamps René,rené.deschamps@tiscali.fr,149
05.19.13.50.14,Jules Noël,jules.noël@voila.fr,417
02 72 22 56 45,Meyer Laetitia,,261
474541256,Thomas Lucy,lucy.thomas@club-internet.fr,147
366501415,Renée Diallo,,314
0359205613,Agathe Barthelemy,,36
02.48.57.56.10,Verdier Michelle,,95
0485868900,Delorme Suzanne,,160
04.81.89.17.47,Daniel Evrard,,495
261912140,TIMOTHÉE LEBRUN,timothée.lebrun@voila.fr,209
05.67.47.30.55,MATTHIEU LÉVY,,359
0516281980,Martineau Andrée,andrée.martineau@free.fr,399
02 47 60 55 16,Girard Bertrand,bertrand.girard@bouygtel.fr,331
04.75.03.85.13,Michaud Camille,camille.michaud@ifrance.com,215
339523109,Françoise Grégoire,françoise.grégoire@voila.fr,482
05 49 36 64 42,Dumont Lucy,,160
+33(0)547011838,Ruiz Céline,,381
03 29 79 13 61,JACQUES RAYMOND,,114
246199917,GROS SYLVIE,,51
0355170792,Philippine Mahe,philippine.mahe@dbmail.com,433
03 84 52 49 03,Guillet Élodie,,366
05 46 84 48 91,Labbé Gilles,,187
01.77.09.03.91,GAUTIER INÈS,,89
535884237,Alexandria Gautier,,98
02.49.12.35.01,RICHARD THIERRY,,147
02 78 53 09 05,Édouard Marion,,324
02 44 33 66 29,Luc Léger,,187
02.32.93.40.44,Bertin Caroline,caroline.bertin@laposte.net,145
01 83 88 32 77,Colette Laroche,colette.laroche@live.com,146
492390831,Aimée Joseph,,240
253213610,Léon Rossi,,54
494220993,Daniel Duval,daniel.duval@laposte.net,200
04.32.76.66.55,Monnier Emmanuel,,462
564856049,MATHILDE BRUNEAU,,399
247365859,Céline Alves,,202
04 78 59 96 42,Gaudin Honoré,,43
+33422764311,Olivier Seguin,,368
02.79.68.96.16,Morvan Caroline,,188
03 83 95 55 05,ADÉLAÏDE FAURE,adélaïde.faure@live.com,279
+33499837474,ÉTIENNE LEFORT,,386
05 24 80 19 39,ANDRÉE VALENTIN,,471
03.63.03.43.31,Seguin Noémi,,392
02.31.32.99.20,JACQUES JEANNINE,jeannine.jacques@tele2.fr,171
0245249779,SYLVIE GUILLET,sylvie.guillet@wanadoo.fr,61
+33373443794,Françoise Durand,françoise.durand@tele2.fr,388
420563330,Renée Gillet,,466
+33256587575,GRENIER VINCENT,,464
470428953,Josette Fernandez,josette.fernandez@voila.fr,435
+33(0)134666982,Hubert Georges,,119
0228379157,BESNARD PIERRE,pierre.besnard@dbmail.com,228
04.99.80.31.95,SALMON XAVIER,,436
04 56 15 51 66,GRÉGOIRE MARTINS,,428
03.86.15.56.41,Adrienne Techer,adrienne.techer@laposte.net,241
468331154,Luce Renault,,202
0443067730,Thomas David,,47
05.57.48.94.95,Fernandes Jeanne,jeanne.fernandes@sfr.fr,37
04 63 70 33 36,Anouk Payet,,408
+33(0)188800835,Patricia Jacques,,249
169764320,RAYNAUD ASTRID,astrid.raynaud@noos.fr,105
05.79.17.45.27,Louise Robert,,321
247191709,JEAN LECLERC,,464
344771708,Morin Frédéric,frédéric.morin@tele2.fr,73
03 87 46 49 89,Célina Marty,célina.marty@hotmail.fr,228
297761190,LOPEZ PATRICK,,193
357888212,LAETITIA MARCHAL,,219
557957930,Allard Françoise,françoise.allard@live.com,346
02.98.70.36.57,LEMAIRE ANDRÉE,,390
01.41.81.22.96,DUVAL EMMANUELLE,emmanuelle.duval@yahoo.fr,194
253425083,PEREIRA MAGGIE,,38
05 08 62 80 45,Paulette Parent,,45
02.41.36.82.64,Lacombe Antoine,antoine.lacombe@dbmail.com,336
0389381349,Humbert Marie,,65
01 78 05 21 97,Marchand Alex,alex.marchand@live.com,326
169340083,Costa Nicolas,,74
04.49.22.40.74,Lorraine Guérin,lorraine.guérin@tiscali.fr,101
0247525534,Gilles Germain,,113
02.69.55.53.07,Virginie Guillot,,424
0495785453,Vidal Franck,,66
389296912,Alice Garcia,,201
+33269597157,VIRGINIE DUPRÉ,virginie.dupré@tele2.fr,254
02.23.27.42.34,SYLVIE DURAND,sylvie.durand@sfr.fr,469
04 58 22 18 18,Élodie Texier,,421
02 77 65 25 10,Vincent Hamon,,286
03 85 85 99 97,PERRIER NOÉMI,noémi.perrier@sfr.fr,49
0411910438,MAURY AMÉLIE,amélie.maury@laposte.net,270
358631935,Alix Colin,,311
03.24.58.16.68,ÉMILIE BOULANGER,,14
03.57.35.33.37,ÉDITH CHAUVIN,,392
04.75.73.13.47,COLETTE THIBAULT,,389
04 88 86 62 97,GIRARD MARGUERITE,,140
427332418,THÉOPHILE BOULAY,,47
449493117,TEIXEIRA FRÉDÉRIQUE,,220
02.69.90.22.98,Courtois Agathe,,143
0357728936,Geneviève Rocher,,459
03.10.68.54.83,PAULINE PELLETIER,,320
02 96 14 64 42,Laure Dos Santos,,361
04 15 02 88 54,Roche Dominique,dominique.roche@voila.fr,245
177202348,Jean Raynaud,jean.raynaud@live.com,22
411749567,Yves Bouvet,,168
356423788,Munoz Océane,,241
0478427450,ARNAUD CLAIRE,,325
+33172350359,Benard Henriette,henriette.benard@noos.fr,339
+33(0)473856424,MARIE ARNAUDE,,36
457188081,Isaac Peron,,79
08 06 81 21 66,Tessier Alexandrie,alexandrie.tessier@hotmail.fr,354
251662788,DUFOUR CAPUCINE,capucine.dufour@orange.fr,116
747464414,Collet Célina,célina.collet@sfr.fr,143
01.58.67.91.90,Éléonore Prévost,,269
02 38 73 32 75,GUILLOT ROBERT,,452
04 73 39 54 09,Bonneau Élodie,,177
+33(0)244669219,Pinto Louise,,339
554766279,CÉLINE JULIEN,,436
0254931206,Thibaut Lombard,,280
04.86.68.63.52,Nathalie Joly,nathalie.joly@sfr.fr,456
03.67.12.70.28,BAILLY JEANNE,jeanne.bailly@gmail.com,260
+33(0)437614617,Wagner Sébastien,,192
0531572502,Laine Chantal,,304
383968562,Guillou Corinne,,126
02.72.05.70.12,Marie Leleu,marie.leleu@free.fr,485
03.89.45.20.15,THOMAS NATHALIE,nathalie.thomas@voila.fr,197
05.54.90.35.31,Emmanuel Voisin,emmanuel.voisin@hotmail.fr,277
04.63.68.68.46,Lebrun Michelle,michelle.lebrun@tiscali.fr,109
524672384,PAULETTE DELANNOY,paulette.delannoy@tele2.fr,275
03.44.75.04.75,Mary Édith,édith.mary@sfr.fr,307
02.32.74.47.28,Gillet Antoine,,118
01 44 94 61 48,Duhamel Bernard,bernard.duhamel@free.fr,333
0345669909,Jeanne Bonnin,jeanne.bonnin@voila.fr,475
01.81.84.51.38,Le Goff Célina,,454
03 20 43 49 95,Corinne Chartier,corinne.chartier@wanadoo.fr,393
+33(0)467483969,DENIS STÉPHANIE,,240
+33355335978,MOREAU JOSEPH,,207
0561920090,Blot Roger,roger.blot@yahoo.fr,26
0385977754,GÉRARD GÉRARD,gérard.gérard@dbmail.com,344
481135452,PIERRE HONORÉ,,13
04 98 71 46 51,Godard Tristan,,363
05.34.85.80.05,Diallo Sébastien,,462
05 17 68 27 35,Mahe Antoine,antoine.mahe@gmail.com,143
582593629,SAMSON JACQUES,,432
272109452,AURÉLIE BRUNEAU,,274
02.43.34.92.29,Emmanuel Hamon,,455
495992041,Schmitt Patricia,,51
0484423464,Munoz Marianne,,450
248351072,Théodore Duhamel,,269
04.56.36.46.14,Marcel Dupont,marcel.dupont@sfr.fr,167
0380822090,David Marianne,,113
02.28.57.23.90,TECHER AURORE,,439
04.91.85.54.27,Bertrand Nathalie,nathalie.bertrand@voila.fr,292
04.37.24.01.26,Alexandrie Leroy,,325
02 19 37 80 30,Legendre Colette,,245
03.22.12.52.90,Céline Weber,céline.weber@orange.fr,185
01 34 23 55 02,Julie Valette,,42
04.85.88.41.69,Simone Michaud,,140
07 51 06 24 99,GUYON GUILLAUME,,363
432756856,Stéphanie Weber,,266
353007975,Simon Nicolas,,116
05 45 55 70 81,Besnard Stéphanie,stéphanie.besnard@tele2.fr,427
02.36.62.70.78,SANCHEZ MARGARET,,49
03.45.19.51.52,Perret Astrid,,411
+33169575941,PERROT OLIVIER,,486
290798120,Véronique Cohen,,13
390345821,Simone Gomes,simone.gomes@sfr.fr,138
